ID,Record Type,Name,Lat,Lon,Polygon,Continent,Country ,Territory,"State, Province or Admin Division ",Abbr.,City ,Capital,Population , Population Rank ,"Land Area
(km²)","Land Area
sq mi",Land Rank ,"Water Area
 (km²)","Water Area
sq mi",Water Rank,"Population Density
 (people per km²)","Population Density
(people per sq mi)",Density Rank ,Flag,Tier,Pre Sale,NFT Border Color,Minimum Bid,Buy Now Price ,Drop Date,Cool Facts
,Country,China,39.905,116.3914,"[[[[78.91595, 33.38766], [78.82426, 33.46106], [78.80091, 33.49424], [78.78137, 33.55279], [78.79408, 33.74391], [78.78726, 33.80843], [78.77031, 33.87235], [78.72112, 33.99439], [78.73011, 34.07926], [78.80607, 34.12298], [78.90322, 34.15812], [78.97619, 34.21716], [78.98549, 34.2399], [78.98849, 34.26313], [78.98539, 34.28636], [78.97619, 34.30917], [78.95694, 34.33996], [78.95118, 34.34917], [78.92214, 34.3723], [78.88586, 34.38576], [78.83925, 34.39689], [78.80173, 34.41501], [78.75068, 34.47128], [78.66458, 34.52642], [78.60733, 34.54647], [78.37943, 34.57867], [78.3353, 34.59438], [78.29603, 34.62466], [78.27319, 34.65887], [78.21138, 34.84826], [78.20249, 34.86573], [78.16218, 34.90883], [78.14813, 34.94314], [78.13924, 35.01895], [78.13004, 35.05543], [78.0364, 35.19424], [78.00116, 35.26891], [78.00984, 35.34746], [78.03806, 35.3981], [78.05563, 35.45288], [78.04426, 35.49163], [77.98586, 35.49417], [77.95786, 35.48207], [77.91269, 35.44099], [77.88313, 35.43107], [77.85709, 35.4366], [77.83425, 35.45215], [77.81533, 35.47334], [77.80035, 35.49541], [77.77358, 35.49897], [77.76035, 35.49809], [77.74743, 35.49432], [77.71673, 35.47541], [77.68966, 35.46269], [77.66061, 35.4581], [77.51961, 35.47744], [77.5122, 35.47846], [77.47644, 35.47716], [77.41277, 35.46941], [77.38373, 35.472], [77.352, 35.48605], [77.30539, 35.51783], [77.2811, 35.52801], [77.25082, 35.5307], [77.17754, 35.52316], [77.14127, 35.52538], [77.1053, 35.53799], [77.09228, 35.54781], [77.07109, 35.57101], [77.05817, 35.5801], [77.03905, 35.58501], [77.01755, 35.5846], [76.97642, 35.57866], [76.9358, 35.57964], [76.91503, 35.58315], [76.89642, 35.58961], [76.88051, 35.60067], [76.85694, 35.62858], [76.84299, 35.64129], [76.82459, 35.6478], [76.78284, 35.64573], [76.77735, 35.64611], [76.76341, 35.64708], [76.74542, 35.65503], [76.73292, 35.66661], [76.70904, 35.69405], [76.67669, 35.71379], [76.60424, 35.7357], [76.57076, 35.75126], [76.55112, 35.78402], [76.56528, 35.86546], [76.55546, 35.89786], [76.53717, 35.90251], [76.50017, 35.87151], [76.4765, 35.86525], [76.45397, 35.86479], [76.44291, 35.86329], [76.43206, 35.8605], [76.42245, 35.8543], [76.41035, 35.83683], [76.40312, 35.83099], [76.3841, 35.8282], [76.36643, 35.83089], [76.34886, 35.83099], [76.31196, 35.80965], [76.29656, 35.80949], [76.28054, 35.81425], [76.26039, 35.81781], [76.23713, 35.81549], [76.1898, 35.805], [76.16603, 35.80624], [76.13812, 35.82665], [76.12779, 35.8621], [76.12376, 35.90349], [76.11466, 35.94179], [76.08996, 35.97812], [76.06143, 35.9916], [75.98433, 35.99563], [75.95302, 36.00726], [75.92232, 36.03165], [75.9, 36.06348], [75.89431, 36.09738], [75.90144, 36.11361], [75.91457, 36.12389], [75.96418, 36.14984], [75.97152, 36.155], [75.97658, 36.16276], [75.97741, 36.17376], [75.96914, 36.19169], [75.97007, 36.20234], [75.9834, 36.21541], [76.00159, 36.22213], [76.01441, 36.2304], [76.01193, 36.24812], [76.0017, 36.26146], [75.97658, 36.28699], [75.96883, 36.30197], [75.96862, 36.34181], [75.98743, 36.42119], [75.98108, 36.44544], [75.97681, 36.46176], [75.97658, 36.46263], [75.87478, 36.61947], [75.84977, 36.64474], [75.79055, 36.68784], [75.72874, 36.72319], [75.64978, 36.75404], [75.57051, 36.76675], [75.50798, 36.74763], [75.50188, 36.73797], [75.49888, 36.72763], [75.49258, 36.72071], [75.43191, 36.72293], [75.41052, 36.74732], [75.40339, 36.78478], [75.40142, 36.82587], [75.3945, 36.86426], [75.37796, 36.89429], [75.3513, 36.91578], [75.31347, 36.92875], [75.19513, 36.94888], [75.16123, 36.9642], [75.13281, 36.98469], [75.11855, 36.99123], [75.10015, 36.99413], [75.01447, 36.98449], [74.97685, 36.98428], [74.94233, 36.97699], [74.92497, 36.97087], [74.9105, 36.96255], [74.90078, 36.94992], [74.892, 36.92098], [74.8858, 36.91144], [74.87236, 36.9071], [74.86678, 36.91656], [74.86089, 36.94689], [74.85324, 36.95899], [74.82451, 36.99413], [74.8243, 36.99413], [74.79257, 37.01516], [74.71919, 37.01645], [74.69222, 37.03588], [74.67795, 37.05169], [74.66245, 37.05448], [74.62607, 37.04275], [74.56178, 37.02968], [74.54235, 37.02167], [74.5192, 37.03025], [74.50577, 37.04704], [74.49409, 37.06647], [74.47662, 37.08314], [74.4144, 37.10784], [74.38257, 37.12657], [74.36614, 37.14776], [74.36831, 37.16706], [74.38226, 37.17205], [74.42029, 37.16807], [74.44158, 37.17055], [74.45667, 37.17732], [74.46763, 37.18993], [74.47662, 37.21006], [74.48727, 37.22595], [74.50008, 37.23163], [74.53223, 37.2322], [74.57594, 37.24215], [74.59, 37.24336], [74.59651, 37.24075], [74.60902, 37.23018], [74.61501, 37.22837], [74.62328, 37.2308], [74.62721, 37.23432], [74.63, 37.2383], [74.64302, 37.24837], [74.64633, 37.25483], [74.65098, 37.25964], [74.67092, 37.26134], [74.6763, 37.26372], [74.69893, 37.28031], [74.70937, 37.29083], [74.72146, 37.29778], [74.73738, 37.29612], [74.744, 37.2884], [74.78327, 37.21967], [74.79402, 37.21393], [74.81314, 37.21543], [74.89231, 37.23111], [74.91267, 37.23899], [74.92373, 37.25519], [74.93292, 37.27251], [74.95153, 37.28129], [74.9754, 37.28429], [75.06842, 37.31214], [75.0771, 37.32421], [75.07958, 37.36123], [75.09178, 37.37844], [75.11524, 37.3878], [75.16412, 37.40064], [75.1325, 37.41849], [75.10397, 37.44061], [75.05343, 37.49384], [75.03586, 37.50639], [74.94522, 37.54856], [74.91504, 37.57073], [74.89189, 37.5992], [74.88218, 37.63442], [74.88611, 37.65347], [74.89706, 37.66757], [74.91091, 37.68023], [74.92362, 37.69532], [74.92693, 37.70359], [74.92879, 37.71243], [74.93189, 37.72157], [74.93861, 37.73082], [74.95442, 37.74772], [74.96176, 37.75808], [74.96517, 37.76746], [74.96145, 37.78547], [74.94925, 37.79532], [74.8984, 37.81759], [74.89117, 37.82304], [74.88611, 37.83056], [74.88321, 37.84387], [74.88735, 37.84893], [74.89458, 37.85211], [74.91163, 37.87376], [74.9137, 37.88084], [74.90523, 37.88694], [74.89396, 37.89226], [74.89076, 37.89771], [74.89117, 37.90425], [74.88879, 37.93092], [74.89282, 37.99401], [74.88042, 38.02166], [74.80993, 38.05321], [74.79071, 38.08145], [74.77128, 38.19627], [74.77107, 38.29154], [74.77479, 38.30963], [74.7843, 38.32567], [74.82668, 38.36322], [74.83825, 38.37942], [74.84414, 38.39776], [74.84435, 38.41724], [74.83712, 38.44574], [74.83577, 38.45517], [74.83288, 38.46365], [74.82616, 38.46964], [74.80849, 38.47765], [74.80125, 38.48282], [74.79226, 38.49378], [74.79216, 38.49401], [74.77634, 38.51067], [74.76033, 38.51998], [74.74203, 38.52308], [74.71909, 38.52153], [74.69645, 38.52398], [74.67961, 38.53491], [74.66431, 38.54902], [74.64612, 38.56111], [74.47662, 38.61206], [74.3342, 38.66699], [74.31343, 38.66922], [74.24377, 38.6502], [74.22144, 38.64971], [74.20201, 38.65232], [74.14041, 38.66922], [74.12336, 38.66948], [74.1091, 38.66229], [74.09504, 38.64576], [74.09267, 38.63769], [74.09287, 38.62875], [74.09143, 38.62043], [74.0844, 38.61403], [74.04492, 38.60346], [74.03727, 38.59847], [74.0381, 38.57922], [74.05081, 38.56266], [74.05877, 38.54703], [74.04554, 38.53041], [74.0289, 38.52724], [73.93288, 38.52966], [73.91728, 38.53708], [73.8871, 38.55904], [73.86973, 38.56679], [73.83356, 38.57796], [73.8164, 38.58659], [73.79739, 38.60284], [73.7886, 38.61857], [73.77909, 38.6602], [73.77227, 38.67462], [73.73641, 38.72167], [73.73269, 38.73717], [73.73899, 38.7811], [73.73589, 38.80042], [73.72494, 38.81456], [73.69579, 38.84011], [73.6837, 38.85494], [73.6808, 38.87298], [73.68897, 38.89109], [73.70292, 38.90703], [73.71718, 38.91858], [73.73992, 38.92693], [73.78788, 38.92708], [73.80958, 38.93266], [73.82395, 38.94494], [73.82912, 38.96016], [73.82612, 38.9769], [73.81599, 38.99377], [73.80162, 39.00144], [73.76865, 39.02992], [73.70933, 39.06547], [73.69817, 39.07842], [73.69186, 39.09446], [73.68297, 39.12875], [73.67378, 39.14262], [73.6314, 39.1751], [73.60784, 39.20732], [73.60226, 39.23577], [73.61011, 39.26546], [73.64132, 39.33527], [73.6438, 39.35129], [73.64256, 39.37176], [73.63192, 39.42881], [73.63264, 39.44834], [73.82074, 39.46819], [73.83831, 39.47568], [73.84803, 39.48974], [73.85919, 39.52426], [73.87046, 39.54679], [73.88307, 39.5612], [73.89929, 39.57154], [73.92162, 39.58213], [73.92678, 39.59288], [73.90425, 39.64647], [73.8996, 39.68946], [73.8935, 39.71039], [73.87",Asia,China,,,,Beijing,Yes,"1,439,323,776",1,"9,388,211","3,624,807",2,,,,153,59,61,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/255px-Flag_of_the_People%27s_Republic_of_China.svg.png,,,,,,,
,Country,India,28.7,77.2,"[[[[77.80035, 35.49541], [77.81533, 35.47334], [77.83425, 35.45215], [77.85709, 35.4366], [77.88313, 35.43107], [77.91269, 35.44099], [77.95786, 35.48207], [77.98586, 35.49417], [78.04426, 35.49163], [78.05563, 35.45288], [78.03806, 35.3981], [78.00984, 35.34746], [78.00116, 35.26891], [78.0364, 35.19424], [78.13004, 35.05543], [78.13924, 35.01895], [78.14813, 34.94314], [78.16218, 34.90883], [78.20249, 34.86573], [78.21138, 34.84826], [78.27319, 34.65887], [78.29603, 34.62466], [78.3353, 34.59438], [78.37943, 34.57867], [78.60733, 34.54647], [78.66458, 34.52642], [78.75068, 34.47128], [78.80173, 34.41501], [78.83925, 34.39689], [78.88586, 34.38576], [78.92214, 34.3723], [78.95118, 34.34917], [78.95694, 34.33996], [78.97619, 34.30917], [78.98539, 34.28636], [78.98849, 34.26313], [78.98549, 34.2399], [78.97619, 34.21716], [78.90322, 34.15812], [78.80607, 34.12298], [78.73011, 34.07926], [78.72112, 33.99439], [78.77031, 33.87235], [78.78726, 33.80843], [78.79408, 33.74391], [78.78137, 33.55279], [78.80091, 33.49424], [78.82426, 33.46106], [78.91595, 33.38766], [78.91769, 33.38626], [78.9733, 33.30957], [78.98911, 33.30197], [79.02611, 33.29265], [79.04327, 33.28588], [79.06022, 33.27681], [79.07283, 33.26363], [79.07717, 33.24472], [79.07892, 33.22118], [79.0874, 33.2156], [79.12223, 33.2289], [79.15365, 33.22691], [79.22961, 33.19216], [79.26444, 33.18198], [79.34485, 33.17932], [79.37865, 33.16428], [79.38185, 33.12733], [79.37317, 33.11214], [79.35136, 33.08486], [79.34423, 33.06594], [79.33979, 33.01326], [79.33359, 32.99429], [79.33421, 32.95683], [79.35426, 32.93058], [79.41275, 32.88655], [79.43198, 32.85539], [79.4388, 32.82461], [79.44872, 32.79562], [79.47642, 32.76981], [79.49998, 32.74684], [79.50505, 32.71418], [79.49575, 32.67821], [79.47642, 32.64542], [79.43477, 32.60243], [79.33679, 32.53566], [79.29431, 32.49458], [79.27602, 32.49019], [79.25617, 32.49587], [79.23561, 32.5043], [79.21525, 32.50791], [79.19117, 32.50427], [79.1614, 32.49647], [79.13287, 32.48546], [79.11293, 32.47239], [79.1029, 32.44986], [79.09174, 32.39056], [79.07531, 32.37079], [79.06632, 32.37007], [79.03965, 32.37598], [79.02818, 32.37709], [79.01474, 32.37399], [78.98983, 32.3641], [78.97619, 32.36162], [78.94343, 32.34637], [78.91129, 32.35474], [78.88152, 32.37627], [78.85568, 32.40045], [78.77145, 32.46166], [78.75471, 32.49381], [78.73693, 32.54579], [78.73497, 32.56065], [78.74065, 32.57868], [78.74913, 32.59587], [78.75099, 32.61279], [78.73683, 32.62984], [78.71326, 32.63752], [78.69445, 32.62966], [78.66489, 32.59902], [78.64774, 32.58597], [78.63017, 32.57801], [78.58986, 32.56993], [78.44754, 32.56626], [78.40816, 32.55838], [78.38481, 32.54755], [78.38098, 32.52804], [78.4092, 32.47662], [78.44878, 32.42678], [78.45219, 32.41678], [78.44816, 32.41066], [78.44144, 32.40495], [78.43638, 32.39616], [78.43452, 32.38376], [78.43597, 32.37797], [78.43886, 32.3733], [78.46273, 32.2818], [78.46139, 32.26015], [78.45633, 32.24212], [78.45798, 32.22966], [78.46854, 32.22667], [78.46902, 32.22653], [78.47648, 32.22442], [78.51307, 32.20757], [78.53498, 32.18134], [78.55182, 32.15039], [78.64929, 32.03644], [78.67833, 32.01675], [78.72215, 31.99459], [78.73383, 31.98466], [78.74458, 31.9642], [78.74199, 31.94534], [78.72019, 31.90291], [78.71419, 31.88302], [78.70665, 31.8408], [78.70034, 31.82168], [78.67409, 31.78695], [78.67089, 31.77052], [78.69559, 31.74669], [78.69518, 31.73796], [78.69259, 31.7284], [78.69321, 31.71853], [78.69807, 31.71104], [78.71047, 31.69817], [78.71843, 31.6806], [78.72401, 31.67331], [78.73135, 31.66804], [78.73982, 31.66603], [78.75812, 31.6666], [78.79532, 31.63378], [78.81889, 31.60737], [78.81403, 31.59502], [78.79698, 31.57885], [78.69952, 31.51002], [78.69538, 31.4881], [78.733, 31.46774], [78.76256, 31.44511], [78.76008, 31.41204], [78.74551, 31.37354], [78.73848, 31.33499], [78.74086, 31.31773], [78.74509, 31.30812], [78.75316, 31.30197], [78.78447, 31.28827], [78.79605, 31.28812], [78.82199, 31.2937], [78.84865, 31.29091], [78.86199, 31.29148], [78.87739, 31.29825], [78.87888, 31.29955], [78.89031, 31.30956], [78.90126, 31.32367], [78.91811, 31.35442], [78.93475, 31.34734], [78.95955, 31.32512], [78.97619, 31.32], [78.9888, 31.34326], [78.99562, 31.38682], [79.01464, 31.42547], [79.06332, 31.43364], [79.07779, 31.42718], [79.10559, 31.4062], [79.13918, 31.38863], [79.14538, 31.37478], [79.14951, 31.35928], [79.15995, 31.3445], [79.16781, 31.34145], [79.18672, 31.33954], [79.19375, 31.33535], [79.1984, 31.32491], [79.19757, 31.31561], [79.19489, 31.30615], [79.19416, 31.29535], [79.19799, 31.28734], [79.21339, 31.2769], [79.21907, 31.26946], [79.21959, 31.26083], [79.217, 31.25251], [79.21556, 31.24373], [79.21969, 31.2337], [79.23499, 31.22342], [79.25214, 31.21975], [79.2661, 31.21231], [79.27188, 31.19102], [79.2723, 31.1719], [79.27509, 31.15422], [79.28222, 31.1382], [79.29566, 31.12415], [79.32108, 31.11231], [79.34826, 31.10539], [79.37234, 31.09407], [79.38259, 31.07833], [79.38836, 31.06947], [79.39498, 31.03671], [79.40159, 31.02364], [79.41441, 31.02038], [79.43074, 31.02317], [79.44634, 31.02379], [79.46164, 31.02111], [79.47642, 31.01403], [79.48076, 31.01005], [79.48427, 31.00545], [79.48686, 31.00023], [79.4882, 30.99449], [79.49761, 30.98121], [79.5127, 30.96617], [79.52965, 30.95356], [79.54422, 30.94741], [79.56592, 30.94245], [79.57781, 30.93837], [79.58949, 30.94023], [79.63031, 30.9625], [79.64819, 30.96576], [79.6885, 30.96741], [79.73904, 30.97925], [79.76064, 30.97723], [79.8335, 30.96152], [79.85035, 30.95449], [79.86286, 30.94152], [79.88043, 30.91284], [79.90316, 30.89021], [79.91464, 30.88382], [79.91937, 30.88118], [79.93489, 30.87254], [80.00559, 30.84727], [80.02863, 30.83078], [80.04445, 30.8067], [80.06253, 30.78479], [80.0922, 30.77451], [80.10925, 30.77812], [80.14067, 30.79321], [80.1571, 30.79316], [80.1693, 30.78525], [80.19607, 30.7481], [80.22459, 30.73409], [80.23141, 30.72495], [80.20702, 30.68614], [80.19989, 30.68071], [80.19172, 30.67968], [80.18201, 30.68004], [80.17291, 30.67916], [80.16661, 30.67441], [80.16692, 30.6619], [80.17726, 30.64986], [80.19059, 30.63798], [80.19989, 30.62588], [80.2033, 30.60635], [80.19782, 30.59136], [80.18842, 30.577], [80.17984, 30.55948], [80.21622, 30.56682], [80.25281, 30.56501], [80.32588, 30.54651], [80.42499, 30.49783], [80.47543, 30.48047], [80.50829, 30.46233], [80.52514, 30.45861], [80.54509, 30.46104], [80.55997, 30.46512], [80.57527, 30.46626], [80.59635, 30.4598], [80.69474, 30.41174], [80.72306, 30.39205], [80.73536, 30.3782], [80.755, 30.3458], [80.76719, 30.33143], [80.78166, 30.32099], [80.86698, 30.28849], [80.94377, 30.27014], [80.97602, 30.25521], [80.99628, 30.22689], [81.0033, 30.21273], [80.99602, 30.19697], [80.98816, 30.19656], [80.92083, 30.17666], [80.90331, 30.18043], [80.89365, 30.19811], [80.88388, 30.21041], [80.86791, 30.20017], [80.85039, 30.18193], [80.83644, 30.17005], [80.84967, 30.14338], [80.82983, 30.11713], [80.76967, 30.07729], [80.75572, 30.06457], [80.72575, 30.02277], [80.71583, 30.01331], [80.68017, 29.99207], [80.65413, 29.97057], [80.64141, 29.96344], [80.62229, 29.95817], [80.58622, 29.95414], [80.57134, 29.94686], [80.56287, 29.9297], [80.54953, 29.89368], [80.52731, 29.86242], [80.47615, 29.80614], [80.45486, 29.79059], [80.39523, 29.77658], [80.36898, 29.75793], [80.3543, 29.73028], [80.3544, 29.70488], [80.36391, 29.67971], [80.37755, 29.65295], [80.38675, 29.62682], [80.3852, 29.60483], [80.37332, 29.58419], [80.35078, 29.56207], [80.3451, 29.55835], [80.3327, 29.55246], [80.32722, 29.54859], [80.3236, 29.54166], [80.32505, 29.53551], [80.32763, 29.52993], [80.32722, 29.52484], [80.32009, 29.51582], [80.31151, 29.50812], [80.29146, 29.49474], [80.29115, 29.49461], [80.28206, 29.4843], [80.27306, 29.47867], [80.26624, 29.47213], [80.26345, 29.45924], [80.25746, 29.45006], [80.22831, 29.44172], [80.21767, 29.43464], [80.21374, 29.41689], [80.22097, 29.40012], [80.24216, 29.36741], [80.2495, 29.327], [80.25498, 29.31664], [80.26356, 29.31532], [80.27275, 29.31571], [80.28009, 29.31015], [80.28278, 29.29131], [80.27875, 29.26809], [80.25818, 29.20246], [80.24867, 29.20439], [80.23606,",Asia,India,,,,New Delhi,Yes,"1,380,004,385",2,"2,973,190","1,147,955",7,,,,464,179,22,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/255px-Flag_of_India.svg.png,,,,,,,
